g_lrX4ActWebTension,g_lrX4UnwinderDancerLowLimit,g_lrX4UnwinderActDancerPos,g_lrX4UnwinderDancerUpperLimit,g_lrX4SetWebTension,g_xX4UnwinderDancerOn,g_dwX4RewinderDriveErrorID,g_lrX4RewinderActMotorTemp,g_lrX4RewinderActPower,g_lrX4RewinderActTorque,g_lrX4RewinderActVel,g_lrX4RewinderActVoltage,g_lrX4RewinderActDiameter,g_lrX4RewinderSetTorque,g_lrX4RewinderSetVel,g_dwX4UnwinderDriveErrorID,g_lrX4UnwinderActMotorTemp,g_lrX4UnwinderActPower,g_lrX4UnwinderActTorque,g_lrX4UnwinderActVel,g_lrX4UnwinderActVoltage,g_lrX4UnwinderActDiameter,g_lrX4UnwinderSetTorque,g_lrX4UnwinderSetVel,g_xX4RewinderAxisError,g_xX4RewinderAxisWarning,g_xX4RewinderDriveError,g_xX4RewinderDriveWarning,g_xX4RewinderError,g_xX4RewinderPowerOn,g_xX4RewinderQSPApplActive,g_xX4RewinderQSPDriveActive,g_xX4RewinderReadyForPowerOn,g_xX4RewinderSTOActive,g_xX4RewinderVoltageEnabled,g_xX4UnwinderAxisError,g_xX4UnwinderAxisWarning,g_xX4UnwinderDriveError,g_xX4UnwinderPowerOn,g_xX4UnwinderQSPApplActive,g_xX4UnwinderQSPDriveActive,g_xX4UnwinderSTOActive,g_xX4UnwinderReadyForPowerOn,g_xX4UnwinderxDancerMaxPos,g_xX4UnwinderxDancerMinPos,g_xX4UnwinderxDiamMax,g_xX4UnwinderxDiamMin,x4portal_ticket_componentPath,x4portal_ticket_create,x4portal_ticket_description,x4portal_ticket_priority,x4portal_ticket_title
12350,5088,8088,11480,8280,true,0,30.3,560,4.70356875,2.3131516244676376,1049,407.04414263356585,0,2.9393464309672157,0,263,474,-27.29196,0.2052125831445058,204,476.3962644204358,2,0.26759273004334133,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
8011,5088,8112,11480,8280,true,0,30.3,547,3.6033187499999992,3.4079061614142523,1492,416.99999999999966,0,3.3968582833463614,0,263,468,-15.968700000000002,0.26526426275571185,266,475.51730452298114,2,0.2683204273372487,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7556,5088,8112,11480,8280,true,0,30.3,546,2.8881562499999998,3.3313923411899142,1455,416.99999999999966,0,3.30462803649252,0,263,468,-11.90394,0.26744604110717773,262,474.63834462552643,-7,0.26833784724044163,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
8248,5088,8104,11480,8280,true,0,30.3,542,3.2457374999999997,3.2387653986612954,1422,416.99999999999966,0,3.2378568483042325,0,263,468,-12.194280000000003,0.2670983473459879,268,475.51730452298114,-2,0.269775807503079,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
8387,5088,8112,11480,8280,true,0,30.3,550,2.530575,3.1706187460157604,1393,416.99999999999966,0,3.1615588198636924,0,263,468,-11.90394,0.26898893217245734,266,475.0778245742538,4,0.26907604146588937,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7776,5088,8128,11480,8280,true,0,30.3,551,3.0806999999999998,3.106240431467692,1367,416.99999999999966,0,3.0922995946157017,0,263,469,-7.258500000000001,0.27055355409781134,267,475.51730452298114,10,0.26807837137285984,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7682,5088,8128,11480,8280,true,0,30.3,549,3.3282562499999995,3.0515326393975153,1341,416.99999999999966,0,3.0519008155316656,0,263,468,-9.290880000000001,0.26963340739409125,270,474.63834462552643,7,0.27084611864490554,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7979,5088,8144,11480,8280,true,0,30.3,549,3.3557624999999995,3.0117326312594943,1327,416.99999999999966,0,2.998054717282275,0,263,469,-8.7102,0.27288620670636493,271,473.3199047793444,-3,0.27209009541732593,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
8101,5088,8144,11480,8280,true,0,30.6,548,3.1632187499999995,2.9461317592196994,1300,416.99999999999966,0,2.9374526696749443,0,263,468,-14.226660000000003,0.2714687337478002,271,473.7593847280718,10,0.27209064351760087,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7335,5088,8136,11480,8280,true,0,30.6,546,2.7506249999999994,2.8826144006517196,1273,416.99999999999966,0,2.8491989543420644,0,263,468,-9.87156,0.27097202837467194,272,473.7593847280718,7,0.2684860188784722,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
8221,5088,8128,11480,8280,true,0,30.6,550,2.7506249999999994,2.814728683895535,1239,416.99999999999966,0,2.7977067092995567,0,266,468,-10.161900000000001,0.26871201892693836,266,474.19886467679913,0,0.26893909344321965,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7718,5088,8128,11480,8280,true,0,30.6,546,3.9333937499999996,2.7584155400594073,1221,416.99999999999966,0,2.7509389631685512,0,266,468,-14.80734,0.26961540182431537,265,474.63834462552643,14,0.2694031464388382,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7867,5088,8112,11480,8280,true,0,31,553,3.0256874999999996,2.6939988136291504,1194,416.99999999999966,0,2.6947241362516148,0,266,468,-12.194280000000003,0.26859653492768604,265,474.63834462552643,-9,0.2705855352947963,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7867,5088,8152,11480,8280,true,0,31,549,3.27324375,2.6762697431776257,1183,416.99999999999966,0,2.66429454050743,0,266,468,-9.87156,0.2714861184358597,268,474.63834462552643,17,0.27233205225281987,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
