g_lrX4ActWebTension,g_lrX4UnwinderDancerLowLimit,g_lrX4UnwinderActDancerPos,g_lrX4UnwinderDancerUpperLimit,g_lrX4SetWebTension,g_xX4UnwinderDancerOn,g_dwX4RewinderDriveErrorID,g_lrX4RewinderActMotorTemp,g_lrX4RewinderActPower,g_lrX4RewinderActTorque,g_lrX4RewinderActVel,g_lrX4RewinderActVoltage,g_lrX4RewinderActDiameter,g_lrX4RewinderSetTorque,g_lrX4RewinderSetVel,g_dwX4UnwinderDriveErrorID,g_lrX4UnwinderActMotorTemp,g_lrX4UnwinderActPower,g_lrX4UnwinderActTorque,g_lrX4UnwinderActVel,g_lrX4UnwinderActVoltage,g_lrX4UnwinderActDiameter,g_lrX4UnwinderSetTorque,g_lrX4UnwinderSetVel,g_xX4RewinderAxisError,g_xX4RewinderAxisWarning,g_xX4RewinderDriveError,g_xX4RewinderDriveWarning,g_xX4RewinderError,g_xX4RewinderPowerOn,g_xX4RewinderQSPApplActive,g_xX4RewinderQSPDriveActive,g_xX4RewinderReadyForPowerOn,g_xX4RewinderSTOActive,g_xX4RewinderVoltageEnabled,g_xX4UnwinderAxisError,g_xX4UnwinderAxisWarning,g_xX4UnwinderDriveError,g_xX4UnwinderPowerOn,g_xX4UnwinderQSPApplActive,g_xX4UnwinderQSPDriveActive,g_xX4UnwinderSTOActive,g_xX4UnwinderReadyForPowerOn,g_xX4UnwinderxDancerMaxPos,g_xX4UnwinderxDancerMinPos,g_xX4UnwinderxDiamMax,g_xX4UnwinderxDiamMin,x4portal_ticket_componentPath,x4portal_ticket_create,x4portal_ticket_description,x4portal_ticket_priority,x4portal_ticket_title
11072,5088,8120,11480,8280,true,0,28.9,550,3.6033187499999992,2.0870500140719943,953,360.7433799572589,0,2.839198045308729,0,249,474,-24.6789,0.16968697309494019,174,477.2752243178905,4,0.24798544268794703,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7739,5088,7984,11480,8280,true,0,28.9,541,2.72311875,5.245123969184028,2277,701.6605927359013,0,5.9321939367552865,0,249,468,-11.6136,0.39501922825972235,378,476.83574436916314,29,0.4640654108762309,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7880,5088,7792,11480,8280,true,0,28.9,544,3.9333937499999996,7.8452719582451715,3364,1055.2482068868926,0,8.5525841010006,0,249,467,-4.064760000000001,0.6123650819063187,577,475.51730452298114,-4,0.6940651673806375,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7794,5088,7720,11480,8280,true,0,29.3,403,5.0061374999999995,10.375126202901203,3713,1417.5260191702394,0,10.794023923420456,0,253,466,-8.7102,0.8480337758858998,798,475.51730452298114,-3,0.9340836374525564,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7991,5088,7664,11480,8280,true,0,29.3,350,3.8508749999999994,12.176333533393011,3698,1666.9999999999986,0,12.183109381595044,0,253,469,1.7420400000000003,1.0777519394954045,1003,475.51730452298114,-26,1.0824085761368858,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7651,5088,7712,11480,8280,true,0,29.3,357,4.951124999999999,11.477948559655083,3730,1666.9999999999986,0,11.309907880914965,0,253,469,-6.968160000000001,1.076405867934227,1008,473.7593847280718,-22,1.0794548514553173,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7853,5088,7688,11480,8280,true,0,29.3,388,3.6308249999999997,10.663950443267822,3722,1666.9999999999986,0,10.499723359115363,0,253,468,-9.00054,1.0806061327457428,1009,474.63834462552643,-13,1.0790783031523135,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7568,5088,7664,11480,8280,true,0,29.3,407,4.48351875,10.013581646813286,3733,1666.9999999999986,0,9.879414876747665,0,253,468,-7.258500000000001,1.0812630256017048,1009,474.63834462552643,12,1.0805499789497077,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,0,true,0,0,0,0,0,true,0,0,0
7673,5088,7968,11480,1242,0,0,29.6,548,1.56785625,4.028542836507161,1731,0.09862667978458954,0,1.5301340873720757,0,253,474,-25.25958,0.30333424607912696,281,475.51730452298114,0,6.564333602310938e-13,0,0,0,0,0,true,0,0,true,0,true,0,0,0,true,0,0,true,0,0,0,0,0,0,true,0,0,0
30000,5088,8280,11480,1242,0,0,29.6,0,0.027506249999999996,0.00007814831203884548,0,8.828392801988241e-60,0,0.00022384855482313366,65285,259,0,-0.29034000000000004,-0.00021606683731079102,0,475.51730452298114,0,-0.00014839073022206623,0,0,0,0,0,0,0,0,0,true,true,0,0,0,0,0,0,true,0,0,0,0,0,0,true,0,0,0
